ENCSR000RBT	ENCFF430IAA	ENCFF739XMW	Homo sapiens HG03571
ENCSR011NJP	ENCFF824HVH	ENCFF636KMV	Homo sapiens GM18858
ENCSR024WOD	ENCFF482YHK	ENCFF298GXE	Homo sapiens GM21390
ENCSR025MEO	ENCFF429JRQ	ENCFF727GJN	Homo sapiens HG03354
ENCSR032RGS	ENCFF899OMR	ENCFF872SDF	Homo sapiens A549
ENCSR038WVV	ENCFF505XMS	ENCFF518WFH	Homo sapiens HG02973
ENCSR040DJK	ENCFF425LSL	ENCFF490PBK	Homo sapiens psoas muscle tissue female adult (59 years)
ENCSR040PBN	ENCFF359CMH	ENCFF427UQD	Homo sapiens HG03066
ENCSR042AWH	ENCFF913MQB	ENCFF664EJT	Homo sapiens HepG2
ENCSR044ATC	ENCFF063YVQ	ENCFF496GXT	Homo sapiens natural killer cell female adult (41 years)
ENCSR053SGP	ENCFF343RCO	ENCFF288BEC	Homo sapiens heart right ventricle tissue male adult (54 years)
ENCSR059IHA	ENCFF958KJD	ENCFF257LMZ	Homo sapiens dendritic cell treated with 100 ng/mL lipopolysaccharide for 30 minutes
ENCSR063UNG	ENCFF757TJE	ENCFF059MRU	Homo sapiens HG03196
ENCSR065CER	ENCFF974XTQ	ENCFF450FBH	Homo sapiens from a donor with amyotrophic lateral sclerosis; motor neuron
ENCSR072UYN	ENCFF436AWP	ENCFF737OOY	Homo sapiens sciatic nerve tissue female child (16 years)
ENCSR074WMH	ENCFF712BJW	ENCFF104OXF	Homo sapiens Right ventricle myocardium superior tissue male adult (60 years)
ENCSR080SNF	ENCFF729MMJ	ENCFF047EBV	Homo sapiens RWPE2
ENCSR084FHK	ENCFF376BWJ	ENCFF934MOB	Homo sapiens GM18505
ENCSR092SRS	ENCFF570EVR	ENCFF438AFY	Homo sapiens activated T-cell male adult (42 years) treated with 50 U/mL Interleukin-2 for 4 hours, anti-CD3 and anti-CD28 coated beads for 4 hours
ENCSR094QFZ	ENCFF267DDX	ENCFF881SZZ	Homo sapiens activated CD4-positive, CD25-positive, alpha-beta regulatory T cell male adult (38 years) treated with anti-CD3 and anti-CD28 coated beads for 24 hours, 50 U/mL Interleukin-2 for 24 hours
ENCSR095QNB	ENCFF470YYO	ENCFF487LOB	Homo sapiens GM12878
ENCSR096VEO	ENCFF208TTV	ENCFF293YLU	Homo sapiens HG03135
ENCSR102RXG	ENCFF058UYY	ENCFF845DQD	Homo sapiens T-cell female adult (33 years)
ENCSR105SCQ	ENCFF091ELX	ENCFF200SFT	Homo sapiens GM21360
ENCSR113MBR	ENCFF010JOP	ENCFF469CYE	Homo sapiens adrenal gland tissue male adult (54 years)
ENCSR115OIV	ENCFF123QHV	ENCFF141ATK	Homo sapiens activated T-helper 17 cell male adult (50 years) treated with anti-CD3 and anti-CD28 coated beads for 72 hours, 50 U/mL Interleukin-2 for 72 hours
ENCSR120MOY	ENCFF830CUE	ENCFF726GTH	Homo sapiens sciatic nerve tissue male adult (26 years)
ENCSR122NDR	ENCFF338XWC	ENCFF621VGP	Homo sapiens GM21576
ENCSR123WME	ENCFF304OUP	ENCFF485EKM	Homo sapiens HG02943
ENCSR131CHJ	ENCFF827NNA	ENCFF583FYE	Homo sapiens dendritic cell treated with 100 ng/mL lipopolysaccharide for 2 hours
ENCSR131HOY	ENCFF497ACM	ENCFF632QIA	Homo sapiens from a donor with amyotrophic lateral sclerosis; motor neuron
ENCSR133CMC	ENCFF442JHH	ENCFF190EVO	Homo sapiens heart right ventricle tissue male adult (69 years)
ENCSR133WJY	ENCFF985WPD	ENCFF225VDO	Homo sapiens left ventricle myocardium superior tissue male adult (60 years)
ENCSR134OSR	ENCFF104JSS	ENCFF946NPR	Homo sapiens GM19438
ENCSR144ZXR	ENCFF553NML	ENCFF880QAL	Homo sapiens HG02759
ENCSR153IUB	ENCFF173XEU	ENCFF617ESX	Homo sapiens mucosa of urinary bladder tissue male adult (26 years)
ENCSR154UWN	ENCFF616OVJ	ENCFF718EPV	Homo sapiens psoas muscle tissue female child (16 years)
ENCSR157OSO	ENCFF535VTB	ENCFF460UKZ	Homo sapiens heart right ventricle tissue female adult (47 years)
ENCSR159GFS	ENCFF364QVY	ENCFF426GUD	Homo sapiens CD4-positive, CD25-positive, alpha-beta regulatory T cell male adult (42 years)
ENCSR163KRG	ENCFF187ZKG	ENCFF536RCF	Homo sapiens HG03469
ENCSR165FYY	ENCFF662SIF	ENCFF544UFE	Homo sapiens central memory CD8-positive, alpha-beta T cell male adult (36 years)
ENCSR174SUM	ENCFF049DNM	ENCFF343VRK	Homo sapiens activated naive CD4-positive, alpha-beta T cell male adult (48 years) treated with anti-CD3 and anti-CD28 coated beads for 72 hours, 50 U/mL Interleukin-2 for 72 hours
ENCSR177JWR	ENCFF626RXO	ENCFF905HWA	Homo sapiens right cardiac atrium tissue female adult (59 years)
ENCSR180HEL	ENCFF872XXD	ENCFF809SRH	Homo sapiens HG02678
ENCSR189VFC	ENCFF561VYC	ENCFF612JSH	Homo sapiens HG02588
ENCSR200OML	ENCFF243NTP	ENCFF282RNO	Homo sapiens IMR-90 nuclear fraction and unspecified fraction
ENCSR201FIW	ENCFF911HZG	ENCFF747TGQ	Homo sapiens thyroid gland tissue female adult (51 years)
ENCSR204FCV	ENCFF388PAR	ENCFF270TJX	Homo sapiens dendritic cell treated with lipopolysaccharide
