sample_id	narrowpeak	bigwig	biosample
ENCSR000RBT	/data/projects/encode/data/ENCSR000RBT/ENCFF430IAA.bed.gz	/zata/data/zlab/projects/encode/data/ENCSR000RBT/ENCFF739XMW.bigWig	Homo sapiens HG03571
ENCSR011NJP	/data/projects/encode/data/ENCSR011NJP/ENCFF824HVH.bed.gz	/zata/data/zlab/projects/encode/data/ENCSR011NJP/ENCFF636KMV.bigWig	Homo sapiens GM18858
ENCSR024WOD	/data/projects/encode/data/ENCSR024WOD/ENCFF482YHK.bed.gz	/zata/data/zlab/projects/encode/data/ENCSR024WOD/ENCFF298GXE.bigWig	Homo sapiens GM21390
ENCSR025MEO	/data/projects/encode/data/ENCSR025MEO/ENCFF429JRQ.bed.gz	/zata/data/zlab/projects/encode/data/ENCSR025MEO/ENCFF727GJN.bigWig	Homo sapiens HG03354
ENCSR032RGS	/data/projects/encode/data/ENCSR032RGS/ENCFF899OMR.bed.gz	/zata/data/zlab/projects/encode/data/ENCSR032RGS/ENCFF872SDF.bigWig	Homo sapiens A549
ENCSR038WVV	/data/projects/encode/data/ENCSR038WVV/ENCFF505XMS.bed.gz	/zata/data/zlab/projects/encode/data/ENCSR038WVV/ENCFF518WFH.bigWig	Homo sapiens HG02973
ENCSR040DJK	/data/projects/encode/data/ENCSR040DJK/ENCFF425LSL.bed.gz	/zata/data/zlab/projects/encode/data/ENCSR040DJK/ENCFF490PBK.bigWig	Homo sapiens psoas muscle tissue female adult (59 years)
ENCSR040PBN	/data/projects/encode/data/ENCSR040PBN/ENCFF359CMH.bed.gz	/zata/data/zlab/projects/encode/data/ENCSR040PBN/ENCFF427UQD.bigWig	Homo sapiens HG03066
ENCSR042AWH	/data/projects/encode/data/ENCSR042AWH/ENCFF913MQB.bed.gz	/zata/data/zlab/projects/encode/data/ENCSR042AWH/ENCFF664EJT.bigWig	Homo sapiens HepG2
ENCSR044ATC	/data/projects/encode/data/ENCSR044ATC/ENCFF063YVQ.bed.gz	/zata/data/zlab/projects/encode/data/ENCSR044ATC/ENCFF496GXT.bigWig	Homo sapiens natural killer cell female adult (41 years)
ENCSR053SGP	/data/projects/encode/data/ENCSR053SGP/ENCFF343RCO.bed.gz	/zata/data/zlab/projects/encode/data/ENCSR053SGP/ENCFF288BEC.bigWig	Homo sapiens heart right ventricle tissue male adult (54 years)
ENCSR059IHA	/data/projects/encode/data/ENCSR059IHA/ENCFF958KJD.bed.gz	/zata/data/zlab/projects/encode/data/ENCSR059IHA/ENCFF257LMZ.bigWig	Homo sapiens dendritic cell treated with 100 ng/mL lipopolysaccharide for 30 minutes
ENCSR063UNG	/data/projects/encode/data/ENCSR063UNG/ENCFF757TJE.bed.gz	/zata/data/zlab/projects/encode/data/ENCSR063UNG/ENCFF059MRU.bigWig	Homo sapiens HG03196
ENCSR065CER	/data/projects/encode/data/ENCSR065CER/ENCFF974XTQ.bed.gz	/zata/data/zlab/projects/encode/data/ENCSR065CER/ENCFF450FBH.bigWig	Homo sapiens from a donor with amyotrophic lateral sclerosis; motor neuron
ENCSR072UYN	/data/projects/encode/data/ENCSR072UYN/ENCFF436AWP.bed.gz	/zata/data/zlab/projects/encode/data/ENCSR072UYN/ENCFF737OOY.bigWig	Homo sapiens sciatic nerve tissue female child (16 years)
ENCSR074WMH	/data/projects/encode/data/ENCSR074WMH/ENCFF712BJW.bed.gz	/zata/data/zlab/projects/encode/data/ENCSR074WMH/ENCFF104OXF.bigWig	Homo sapiens Right ventricle myocardium superior tissue male adult (60 years)
ENCSR080SNF	/data/projects/encode/data/ENCSR080SNF/ENCFF729MMJ.bed.gz	/zata/data/zlab/projects/encode/data/ENCSR080SNF/ENCFF047EBV.bigWig	Homo sapiens RWPE2
ENCSR084FHK	/data/projects/encode/data/ENCSR084FHK/ENCFF376BWJ.bed.gz	/zata/data/zlab/projects/encode/data/ENCSR084FHK/ENCFF934MOB.bigWig	Homo sapiens GM18505
ENCSR092SRS	/data/projects/encode/data/ENCSR092SRS/ENCFF570EVR.bed.gz	/zata/data/zlab/projects/encode/data/ENCSR092SRS/ENCFF438AFY.bigWig	Homo sapiens activated T-cell male adult (42 years) treated with 50 U/mL Interleukin-2 for 4 hours, anti-CD3 and anti-CD28 coated beads for 4 hours
ENCSR094QFZ	/data/projects/encode/data/ENCSR094QFZ/ENCFF267DDX.bed.gz	/zata/data/zlab/projects/encode/data/ENCSR094QFZ/ENCFF881SZZ.bigWig	Homo sapiens activated CD4-positive, CD25-positive, alpha-beta regulatory T cell male adult (38 years) treated with anti-CD3 and anti-CD28 coated beads for 24 hours, 50 U/mL Interleukin-2 for 24 hours
ENCSR095QNB	/data/projects/encode/data/ENCSR095QNB/ENCFF470YYO.bed.gz	/zata/data/zlab/projects/encode/data/ENCSR095QNB/ENCFF487LOB.bigWig	Homo sapiens GM12878
ENCSR096VEO	/data/projects/encode/data/ENCSR096VEO/ENCFF208TTV.bed.gz	/zata/data/zlab/projects/encode/data/ENCSR096VEO/ENCFF293YLU.bigWig	Homo sapiens HG03135
ENCSR102RXG	/data/projects/encode/data/ENCSR102RXG/ENCFF058UYY.bed.gz	/zata/data/zlab/projects/encode/data/ENCSR102RXG/ENCFF845DQD.bigWig	Homo sapiens T-cell female adult (33 years)
ENCSR105SCQ	/data/projects/encode/data/ENCSR105SCQ/ENCFF091ELX.bed.gz	/zata/data/zlab/projects/encode/data/ENCSR105SCQ/ENCFF200SFT.bigWig	Homo sapiens GM21360
ENCSR113MBR	/data/projects/encode/data/ENCSR113MBR/ENCFF010JOP.bed.gz	/zata/data/zlab/projects/encode/data/ENCSR113MBR/ENCFF469CYE.bigWig	Homo sapiens adrenal gland tissue male adult (54 years)
ENCSR115OIV	/data/projects/encode/data/ENCSR115OIV/ENCFF123QHV.bed.gz	/zata/data/zlab/projects/encode/data/ENCSR115OIV/ENCFF141ATK.bigWig	Homo sapiens activated T-helper 17 cell male adult (50 years) treated with anti-CD3 and anti-CD28 coated beads for 72 hours, 50 U/mL Interleukin-2 for 72 hours
